Time,Amount,Note
"9/12/17, 8:00 AM",3.5 oz.,PP L 1.3 R 2.2
"9/12/17, 10:30 AM",2 oz.,Pp l 0.75 r 1.25
"9/12/17, 12:41 PM",1.6 oz.,
"9/12/17, 1:13 PM",1.6 oz.,L 0.6 R 1
"9/12/17, 3:00 PM",2.25 oz.,PP L 0.75 R 1.5
"9/12/17, 5:30 PM",1 oz.,
"9/12/17, 8:16 PM",1.8 oz.,L 0.8 R 1
"9/13/17, 12:30 AM",4.75 oz.,PP L 1.75 R 3
"9/13/17, 8:00 AM",3.4 oz.,L 1.2 R 2.2
"9/13/17, 10:10 AM",2.6 oz.,L 1 R 1.6
"9/13/17, 11:50 AM",2.2 oz.,PP L 0.6 R 1.5
"9/13/17, 2:20 PM",2.25 oz.,PP L 0.75 R 1.5
"9/13/17, 5:00 PM",.25 oz.,
"9/13/17, 6:30 PM",2 oz.,PP L 0.75 R 1.25
"9/13/17, 8:30 PM",1.75 oz.,L 0.75 R 1
"9/13/17, 11:13 PM",2.7 oz.,"PP 1: L 0.75 R 1.25
2 0.9 1.8"
"9/14/17, 1:30 AM",2.3 oz.,"Pp 1 0.75 R 1.25
2  0.8 1.5"
"9/14/17, 7:40 AM",2.8 oz.,"PP 1: L 0.4 R 2.2
2  0.5 2.3"
"9/14/17, 9:30 AM",2.5 oz.,L 0.8 R 1.7
"9/14/17, 11:02 AM",1.8 oz.,Pp 0.6 1.1
"9/14/17, 12:50 PM",.7 oz.,L 0.4 R 0.3
"9/14/17, 1:58 PM",1 oz.,L 0.3 R 0.7
"9/14/17, 3:10 PM",.7 oz.,L 0.2 R 0.5
"9/14/17, 4:30 PM",.5 oz.,
"9/14/17, 6:40 PM",1.6 oz.,L 0.6 R 1
"9/14/17, 8:40 PM",1.7 oz.,PP
"9/15/17, 12:25 AM",3.4 oz.,"PP 1- L 1 R 1.8
2 1.2 2.2"
"9/15/17, 6:40 AM",4.4 oz.,"PP 1: L 0.8 R 1.8
2: 1.3, 2.7
3 1.4, 3"
"9/15/17, 8:20 AM",2.5 oz.,"8:20 0.3 0.6
9:10 0.6 1.0
9:30 0.8 1.3
10 0.9 1.6"
"9/15/17, 10:40 AM",2.6 oz.,"10:40 0.3 0.3
11:40 0.6 0.9
12:12 0.75 1.25
12:50 1 1.6"
"9/15/17, 1:45 PM",1.9 oz.,"1:45 0.25 0.5
2:50 0.7 1.2"
"9/15/17, 6:00 PM",1.4 oz.,L 0.5 R 0.9
"9/15/17, 8:10 PM",2.6 oz.,"1:0.7, 1.4
3: 0.8, 1.8"
"9/15/17, 10:36 PM",1.3 oz.,L 0.4 R 0.9
"9/16/17, 1:18 AM",2.3 oz.,0.8 1.5
"9/16/17, 3:21 AM",1 oz.,
"9/16/17, 7:35 AM",2.8 oz.,"PP 1: 0.6, 1
2: 1.0, 1.8"
"9/16/17, 9:00 AM",.8 oz.,L 0.3 R 0.5
"9/16/17, 11:17 AM",1.5 oz.,L 0.5 R 1
"9/16/17, 12:45 PM",1.9 oz.,L 0.7 R 1.2
"9/16/17, 3:03 PM",1.95 oz.,0.75 1.2
"9/16/17, 6:00 PM",2.7 oz.,L 0.7 R 2
"9/16/17, 9:00 PM",3.1 oz.,"L 1.1, R 2"
"9/17/17, 12:00 AM",2.75 oz.,L 1 R 1.75
"9/17/17, 3:00 AM",2.8 oz.,L 1 R 1.8
"9/17/17, 6:00 AM",3 oz.,L 1.1 R 1.9
"9/17/17, 8:50 AM",2.75 oz.,L 1 R 1.75
"9/17/17, 11:50 AM",2.75 oz.,L 1 R 1.75
"9/17/17, 2:40 PM",2.5 oz.,L 0.75 R 1.75
"9/17/17, 4:10 PM",1.5 oz.,L .5 R 1.0
"9/17/17, 6:00 PM",2.3 oz.,L 0.6 R 1.7
"9/17/17, 8:00 PM",1.9 oz.,0.7 1.2
"9/18/17, 1:00 AM",4.7 oz.,L 1.7 R 3
"9/18/17, 6:10 AM",3.5 oz.,1 2.5
"9/18/17, 8:10 AM",2 oz.,0.7 1.3
"9/18/17, 10:10 AM",2.95 oz.,"10:10: 0.7 1
10:45: 0.8 1.3
11:20 1.15 1.8"
"9/18/17, 1:20 PM",2 oz.,0.75 1.25
"9/18/17, 4:25 PM",1.55 oz.,L 0.8 R 0.75
"9/18/17, 6:38 PM",1.65 oz.,0.2 1.45
"9/18/17, 9:03 PM",1.9 oz.,PP L 0.7 R 1.2
"9/19/17, 12:55 AM",3.1 oz.,L 0.4 R 2.7
"9/19/17, 7:15 AM",5.3 oz.,L 1.7 R 3.6
"9/19/17, 8:50 AM",2.4 oz.,L 1 R 1.4
