,Time,LeftDuration,RightDuration,TotalDuration,Resource,longestTimeBtwnFeeds,# of Night Feeds,# of Night Wakes,EndTime,DateOnly,DateString,Time_SameDate,EndTime_SameDate,Daydifference,Time_SameDate2,EndTime_SameDate2,AgeInWeeks
98,2017-08-07 13:39:00,,,15.0,Wet,,,,2017-08-07 13:54:00,2017-08-07,2017-08-07,2019-01-01 13:39:00,2019-01-01 13:54:00,5 days,2017-08-02 13:39:00,2017-08-02 13:54:00,0.0
99,2017-08-07 15:14:00,15.0,10.0,25.0,Nursing,,,,2017-08-07 15:39:00,2017-08-07,2017-08-07,2019-01-01 15:14:00,2019-01-01 15:39:00,5 days,2017-08-02 15:14:00,2017-08-02 15:39:00,0.0
100,2017-08-07 15:46:00,,,113.0,Sleep,,,,2017-08-07 17:39:00,2017-08-07,2017-08-07,2019-01-01 15:46:00,2019-01-01 17:39:00,5 days,2017-08-02 15:46:00,2017-08-02 17:39:00,0.0
101,2017-08-07 17:47:00,13.0,15.0,28.0,Nursing,,,,2017-08-07 18:15:00,2017-08-07,2017-08-07,2019-01-01 17:47:00,2019-01-01 18:15:00,5 days,2017-08-02 17:47:00,2017-08-02 18:15:00,0.0
102,2017-08-07 18:10:00,,,79.0,Sleep,,,,2017-08-07 19:29:00,2017-08-07,2017-08-07,2019-01-01 18:10:00,2019-01-01 19:29:00,5 days,2017-08-02 18:10:00,2017-08-02 19:29:00,0.0
103,2017-08-07 20:08:00,15.0,12.0,27.0,Nursing,,,,2017-08-07 20:35:00,2017-08-07,2017-08-07,2019-01-01 20:08:00,2019-01-01 20:35:00,5 days,2017-08-02 20:08:00,2017-08-02 20:35:00,0.0
104,2017-08-07 21:20:00,,,15.0,Wet,,,,2017-08-07 21:35:00,2017-08-07,2017-08-07,2019-01-01 21:20:00,2019-01-01 21:35:00,5 days,2017-08-02 21:20:00,2017-08-02 21:35:00,0.0
105,2017-08-07 21:30:00,,,6.0,Sleep,,,,2017-08-07 21:36:00,2017-08-07,2017-08-07,2019-01-01 21:30:00,2019-01-01 21:36:00,5 days,2017-08-02 21:30:00,2017-08-02 21:36:00,0.0
106,2017-08-07 22:16:00,12.0,16.0,28.0,Nursing,,,,2017-08-07 22:44:00,2017-08-07,2017-08-07,2019-01-01 22:16:00,2019-01-01 22:44:00,5 days,2017-08-02 22:16:00,2017-08-02 22:44:00,0.0
107,2017-08-07 22:48:00,,,147.0,Sleep,,,,2017-08-08 01:15:00,2017-08-07,2017-08-07,2019-01-01 22:48:00,2019-01-01 01:15:00,5 days,2017-08-02 22:48:00,2017-08-03 00:00:00,0.0
108,,,,,Sleep,,,,,,2017-08-08,,,,2017-08-02 00:00:00,2017-08-02 01:15:00,
109,2017-08-08 01:17:00,16.0,15.0,31.0,Nursing,183.0,6.0,2.0,2017-08-08 01:48:00,2017-08-08,2017-08-08,2019-01-01 01:17:00,2019-01-01 01:48:00,6 days,2017-08-02 01:17:00,2017-08-02 01:48:00,0.0
110,2017-08-08 02:10:00,,,130.0,Sleep,,,,2017-08-08 04:20:00,2017-08-08,2017-08-08,2019-01-01 02:10:00,2019-01-01 04:20:00,6 days,2017-08-02 02:10:00,2017-08-02 04:20:00,0.0
111,2017-08-08 04:20:00,,,15.0,BottlePumped,,,,2017-08-08 04:35:00,2017-08-08,2017-08-08,2019-01-01 04:20:00,2019-01-01 04:35:00,6 days,2017-08-02 04:20:00,2017-08-02 04:35:00,0.0
112,2017-08-08 05:19:00,16.0,17.0,33.0,Nursing,,,,2017-08-08 05:52:00,2017-08-08,2017-08-08,2019-01-01 05:19:00,2019-01-01 05:52:00,6 days,2017-08-02 05:19:00,2017-08-02 05:52:00,0.0
